ID,Nombre,Sprint,Semana,Fecha_Inicio,Fecha_Fin,Duracion_Dias,Prioridad,Estado,Dominio,CTO_Gate,Dependencias,Asignado,Criterio_Aceptacion,Riesgo,Entregable,Story_Points
CE-S2-001,Schemas Pydantic Documents Module,Sprint 2,Semana 2,2026-01-09,2026-01-10,2,P0,Completado,Backend,Gate 5,Ninguna,Backend Lead,Request/Response DTOs con clause_id y OpenAPI spec generada,Bajo,apps/api/src/modules/documents/schemas.py,3
CE-S2-002,Schemas Pydantic Analysis Module,Sprint 2,Semana 2,2026-01-09,2026-01-10,2,P0,Completado,Backend,Gate 5,Ninguna,Backend Lead,DTOs Alert/Analysis con evidence_json y validaciones Pydantic v2,Bajo,apps/api/src/modules/analysis/schemas.py,3
CE-S2-003,Schemas Pydantic Stakeholders Module,Sprint 2,Semana 2,2026-01-11,2026-01-11,1,P0,Completado,Backend,Gate 5,CE-S2-001,Backend Lead,DTOs Stakeholder/WBS/BOM/RACI con clause_id FK,Bajo,apps/api/src/modules/stakeholders/schemas.py,2
CE-S2-004,Implementar Redis/Upstash Cache,Sprint 2,Semana 2,2026-01-09,2026-01-09,1,P0,Pendiente,Infrastructure,Gate 7,Ninguna,DevOps,Cache extracciones por hash documento TTL 24h hit ratio >80%,Medio,apps/api/src/core/cache.py,2
CE-S2-005,Model Routing Dinámico Config,Sprint 2,Semana 2,2026-01-10,2026-01-10,1,P0,Completado,AI,Gate 7,Ninguna,AI Lead,Config YAML routing Sonnet/Haiku por operación,Bajo,apps/api/src/ai/model_routing.yaml,2
CE-S2-006,Caché de Prompts Idénticos,Sprint 2,Semana 2,2026-01-11,2026-01-11,1,P1,Completado,AI,Gate 7,CE-S2-004,AI Lead,Hash SHA-256 input resultado cacheado 24h,Bajo,apps/api/src/ai/prompt_cache.py,2
CE-S2-007,LLM Client Wrapper Anthropic,Sprint 2,Semana 2,2026-01-11,2026-01-11,1,P0,Completado,AI,Gate 7,Ninguna,AI Lead,SDK retry exponential backoff logging cost tracking,Medio,apps/api/src/ai/llm_client.py,2
CE-S2-008,Prompt Templates con Versioning,Sprint 2,Semana 2,2026-01-10,2026-01-10,1,P0,Pendiente,AI,Gate 5,Ninguna,AI Lead,Template engine con variables versión en metadata,Bajo,prompts/v1/README.md,2
CE-S2-009,Error Handling Consistente API,Sprint 2,Semana 2,2026-01-10,2026-01-10,1,P0,Completado,Backend,N/A,Ninguna,Backend Lead,Excepciones custom códigos HTTP JSON estructurado,Bajo,apps/api/src/core/exceptions.py,1
CE-S2-010,Wireframes 6 Vistas Core,Sprint 2,Semana 2,2026-01-09,2026-01-09,1,P0,Pendiente,UX/UI,Gate 6,Ninguna,UX Designer,Wireframes Dashboard/Projects/Evidence/Alerts/Stakeholders/RACI,Medio,docs/wireframes/,2
